"Step","Batch Size = 32768 - rollout/ep_rew_mean","Batch Size = 32768 - rollout/ep_rew_mean__MIN","Batch Size = 32768 - rollout/ep_rew_mean__MAX","Batch Size = 16384 - rollout/ep_rew_mean","Batch Size = 16384 - rollout/ep_rew_mean__MIN","Batch Size = 16384 - rollout/ep_rew_mean__MAX","Batch Size = 8192 - rollout/ep_rew_mean","Batch Size = 8192 - rollout/ep_rew_mean__MIN","Batch Size = 8192 - rollout/ep_rew_mean__MAX","Batch Size = 2048 - rollout/ep_rew_mean","Batch Size = 2048 - rollout/ep_rew_mean__MIN","Batch Size = 2048 - rollout/ep_rew_mean__MAX"
"98","-2.5197250843048096","-2.5197250843048096","-2.5197250843048096","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-0.2536388039588928","-0.2536388039588928","-0.2536388039588928","0.7579350471496582","0.7579350471496582","0.7579350471496582"
"99","-2.5197250843048096","-2.5197250843048096","-2.5197250843048096","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-0.2536388039588928","-0.2536388039588928","-0.2536388039588928","0.7579350471496582","0.7579350471496582","0.7579350471496582"
"100","-2.5197250843048096","-2.5197250843048096","-2.5197250843048096","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-0.2536388039588928","-0.2536388039588928","-0.2536388039588928","0.7579350471496582","0.7579350471496582","0.7579350471496582"
"101","-2.5197250843048096","-2.5197250843048096","-2.5197250843048096","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-0.2536388039588928","-0.2536388039588928","-0.2536388039588928","0.7579350471496582","0.7579350471496582","0.7579350471496582"
"102","-2.5197250843048096","-2.5197250843048096","-2.5197250843048096","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-0.2536388039588928","-0.2536388039588928","-0.2536388039588928","0.7579350471496582","0.7579350471496582","0.7579350471496582"
"103","-2.5197250843048096","-2.5197250843048096","-2.5197250843048096","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-0.2536388039588928","-0.2536388039588928","-0.2536388039588928","0.7579350471496582","0.7579350471496582","0.7579350471496582"
"104","-2.5197250843048096","-2.5197250843048096","-2.5197250843048096","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-0.2536388039588928","-0.2536388039588928","-0.2536388039588928","0.7579350471496582","0.7579350471496582","0.7579350471496582"
"105","-2.3457088470458984","-2.3457088470458984","-2.3457088470458984","-1.132333517074585","-1.132333517074585","-1.132333517074585","-0.02144770324230194","-0.02144770324230194","-0.02144770324230194","0.8656842112541199","0.8656842112541199","0.8656842112541199"
"106","-2.3457088470458984","-2.3457088470458984","-2.3457088470458984","-1.132333517074585","-1.132333517074585","-1.132333517074585","-0.02144770324230194","-0.02144770324230194","-0.02144770324230194","0.8656842112541199","0.8656842112541199","0.8656842112541199"
"107","-2.3457088470458984","-2.3457088470458984","-2.3457088470458984","-1.132333517074585","-1.132333517074585","-1.132333517074585","-0.02144770324230194","-0.02144770324230194","-0.02144770324230194","0.8656842112541199","0.8656842112541199","0.8656842112541199"
"108","-2.3457088470458984","-2.3457088470458984","-2.3457088470458984","-1.132333517074585","-1.132333517074585","-1.132333517074585","-0.02144770324230194","-0.02144770324230194","-0.02144770324230194","0.8656842112541199","0.8656842112541199","0.8656842112541199"
"109","-2.3457088470458984","-2.3457088470458984","-2.3457088470458984","-1.132333517074585","-1.132333517074585","-1.132333517074585","-0.02144770324230194","-0.02144770324230194","-0.02144770324230194","0.8656842112541199","0.8656842112541199","0.8656842112541199"
"110","-2.3457088470458984","-2.3457088470458984","-2.3457088470458984","-1.132333517074585","-1.132333517074585","-1.132333517074585","-0.02144770324230194","-0.02144770324230194","-0.02144770324230194","0.8656842112541199","0.8656842112541199","0.8656842112541199"
"111","-2.3457088470458984","-2.3457088470458984","-2.3457088470458984","-1.132333517074585","-1.132333517074585","-1.132333517074585","-0.02144770324230194","-0.02144770324230194","-0.02144770324230194","0.8656842112541199","0.8656842112541199","0.8656842112541199"
"112","-2.3457088470458984","-2.3457088470458984","-2.3457088470458984","-1.132333517074585","-1.132333517074585","-1.132333517074585","-0.02144770324230194","-0.02144770324230194","-0.02144770324230194","0.8656842112541199","0.8656842112541199","0.8656842112541199"
"113","-2.3457088470458984","-2.3457088470458984","-2.3457088470458984","-1.132333517074585","-1.132333517074585","-1.132333517074585","-0.02144770324230194","-0.02144770324230194","-0.02144770324230194","0.8656842112541199","0.8656842112541199","0.8656842112541199"
"114","-2.3457088470458984","-2.3457088470458984","-2.3457088470458984","-1.132333517074585","-1.132333517074585","-1.132333517074585","-0.02144770324230194","-0.02144770324230194","-0.02144770324230194","0.8656842112541199","0.8656842112541199","0.8656842112541199"
