"Step","Absolute Mode - rollout/ep_rew_mean","Absolute Mode - rollout/ep_rew_mean__MIN","Absolute Mode - rollout/ep_rew_mean__MAX","Relative Mode - rollout/ep_rew_mean","Relative Mode - rollout/ep_rew_mean__MIN","Relative Mode - rollout/ep_rew_mean__MAX"
"147","0.2561385929584503","0.2561385929584503","0.2561385929584503","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"148","0.2561385929584503","0.2561385929584503","0.2561385929584503","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"149","0.2561385929584503","0.2561385929584503","0.2561385929584503","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"150","0.2561385929584503","0.2561385929584503","0.2561385929584503","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"151","0.2561385929584503","0.2561385929584503","0.2561385929584503","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"152","0.35392385721206665","0.35392385721206665","0.35392385721206665","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"153","0.35392385721206665","0.35392385721206665","0.35392385721206665","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"154","0.35392385721206665","0.35392385721206665","0.35392385721206665","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"155","0.35392385721206665","0.35392385721206665","0.35392385721206665","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"156","0.35392385721206665","0.35392385721206665","0.35392385721206665","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"157","0.35392385721206665","0.35392385721206665","0.35392385721206665","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"158","0.35392385721206665","0.35392385721206665","0.35392385721206665","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"159","0.35392385721206665","0.35392385721206665","0.35392385721206665","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"160","0.35392385721206665","0.35392385721206665","0.35392385721206665","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"161","0.35392385721206665","0.35392385721206665","0.35392385721206665","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"162","0.35392385721206665","0.35392385721206665","0.35392385721206665","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"163","0.35392385721206665","0.35392385721206665","0.35392385721206665","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"164","0.3801666498184204","0.3801666498184204","0.3801666498184204","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"165","0.3801666498184204","0.3801666498184204","0.3801666498184204","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"166","0.3801666498184204","0.3801666498184204","0.3801666498184204","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"167","0.3801666498184204","0.3801666498184204","0.3801666498184204","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"168","0.3801666498184204","0.3801666498184204","0.3801666498184204","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"169","0.3801666498184204","0.3801666498184204","0.3801666498184204","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"170","0.3801666498184204","0.3801666498184204","0.3801666498184204","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"171","0.3801666498184204","0.3801666498184204","0.3801666498184204","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
