"Step","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MIN","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MAX","Act. Rate (-1.0) - rollout/ep_rew_mean","Act. Rate (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate (-1.0) - rollout/ep_rew_mean__MAX","Act. Rate Pos (-1.0) - rollout/ep_rew_mean","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MAX"
"82","-2.35027813911438","-2.35027813911438","-2.35027813911438","-1.6824393272399902","-1.6824393272399902","-1.6824393272399902","-2.052072525024414","-2.052072525024414","-2.052072525024414"
"83","-2.35027813911438","-2.35027813911438","-2.35027813911438","-1.6824393272399902","-1.6824393272399902","-1.6824393272399902","-2.052072525024414","-2.052072525024414","-2.052072525024414"
"84","-2.35027813911438","-2.35027813911438","-2.35027813911438","-1.6824393272399902","-1.6824393272399902","-1.6824393272399902","-2.052072525024414","-2.052072525024414","-2.052072525024414"
"85","-2.35027813911438","-2.35027813911438","-2.35027813911438","-1.6824393272399902","-1.6824393272399902","-1.6824393272399902","-2.052072525024414","-2.052072525024414","-2.052072525024414"
"86","-2.35027813911438","-2.35027813911438","-2.35027813911438","-1.6824393272399902","-1.6824393272399902","-1.6824393272399902","-2.052072525024414","-2.052072525024414","-2.052072525024414"
"87","-2.35027813911438","-2.35027813911438","-2.35027813911438","-1.6824393272399902","-1.6824393272399902","-1.6824393272399902","-2.052072525024414","-2.052072525024414","-2.052072525024414"
"88","-2.35027813911438","-2.35027813911438","-2.35027813911438","-1.6824393272399902","-1.6824393272399902","-1.6824393272399902","-2.052072525024414","-2.052072525024414","-2.052072525024414"
"89","-2.35027813911438","-2.35027813911438","-2.35027813911438","-1.6824393272399902","-1.6824393272399902","-1.6824393272399902","-2.052072525024414","-2.052072525024414","-2.052072525024414"
"90","-2.35027813911438","-2.35027813911438","-2.35027813911438","-1.6824393272399902","-1.6824393272399902","-1.6824393272399902","-2.052072525024414","-2.052072525024414","-2.052072525024414"
"91","-2.35027813911438","-2.35027813911438","-2.35027813911438","-1.6824393272399902","-1.6824393272399902","-1.6824393272399902","-2.052072525024414","-2.052072525024414","-2.052072525024414"
"92","-2.35027813911438","-2.35027813911438","-2.35027813911438","-1.6824393272399902","-1.6824393272399902","-1.6824393272399902","-2.052072525024414","-2.052072525024414","-2.052072525024414"
"93","-2.0748043060302734","-2.0748043060302734","-2.0748043060302734","-1.321568489074707","-1.321568489074707","-1.321568489074707","-1.706544280052185","-1.706544280052185","-1.706544280052185"
"94","-2.0748043060302734","-2.0748043060302734","-2.0748043060302734","-1.321568489074707","-1.321568489074707","-1.321568489074707","-1.706544280052185","-1.706544280052185","-1.706544280052185"
"95","-2.0748043060302734","-2.0748043060302734","-2.0748043060302734","-1.321568489074707","-1.321568489074707","-1.321568489074707","-1.706544280052185","-1.706544280052185","-1.706544280052185"
"96","-2.0748043060302734","-2.0748043060302734","-2.0748043060302734","-1.321568489074707","-1.321568489074707","-1.321568489074707","-1.706544280052185","-1.706544280052185","-1.706544280052185"
"97","-2.0748043060302734","-2.0748043060302734","-2.0748043060302734","-1.321568489074707","-1.321568489074707","-1.321568489074707","-1.706544280052185","-1.706544280052185","-1.706544280052185"
"98","-2.0748043060302734","-2.0748043060302734","-2.0748043060302734","-1.321568489074707","-1.321568489074707","-1.321568489074707","-1.706544280052185","-1.706544280052185","-1.706544280052185"
"99","-2.0748043060302734","-2.0748043060302734","-2.0748043060302734","-1.321568489074707","-1.321568489074707","-1.321568489074707","-1.706544280052185","-1.706544280052185","-1.706544280052185"
"100","-2.0748043060302734","-2.0748043060302734","-2.0748043060302734","-1.321568489074707","-1.321568489074707","-1.321568489074707","-1.706544280052185","-1.706544280052185","-1.706544280052185"
